participantNr,TimeVar,DepVar,Condition
1,155,0,1
1,192,0,1
1,279,1,1
1,210,0,1
1,201,0,1
1,234,0,1
1,232,1,1
1,178,1,1
1,162,0,1
1,191,0,1
1,210,1,1
1,202,1,1
1,183,0,1
1,200,0,1
1,165,0,1
1,182,0,1
1,217,1,1
1,233,0,1
1,188,0,1
1,212,1,1
1,200,1,1
1,203,0,1
1,177,1,1
1,148,0,1
1,160,1,1
1,205,1,1
1,201,1,1
1,153,0,1
1,217,1,1
1,195,0,1
1,145,1,1
1,175,0,1
1,204,0,1
1,214,0,1
1,202,0,1
1,180,0,1
1,200,0,1
1,211,1,1
1,213,0,1
1,253,0,1
1,162,0,1
1,198,0,1
1,172,0,1
1,142,0,1
1,199,0,1
1,193,1,1
1,173,0,1
1,196,0,1
1,235,0,1
1,188,1,1
1,248,1,1
1,159,0,1
1,128,0,1
1,145,0,1
1,215,1,1
1,240,1,1
1,143,1,1
1,189,0,1
1,260,1,1
1,159,1,1
1,162,1,1
1,182,1,1
1,211,0,1
1,202,0,1
1,152,1,1
1,187,0,1
1,211,0,1
1,168,0,1
1,170,1,1
1,144,1,1
1,189,0,1
1,184,0,1
1,172,0,1
1,223,0,1
1,191,0,1
1,178,1,1
1,180,0,1
1,189,1,1
1,197,1,1
1,182,0,1
1,165,1,1
1,146,1,1
1,162,0,1
1,162,0,1
1,210,1,1
1,218,0,1
1,191,1,1
1,183,0,1
1,186,1,1
1,172,0,1
1,177,0,1
1,185,0,1
1,139,0,1
1,160,0,1
1,160,0,1
1,171,0,1
1,223,0,1
1,163,0,1
1,133,1,1
1,129,1,1
1,194,0,1
1,149,0,1
1,127,0,1
1,128,0,1
1,158,0,1
1,146,1,1
1,155,1,1
1,191,1,1
1,151,1,1
1,186,0,1
1,207,0,1
1,154,0,1
1,181,1,1
1,188,0,1
1,165,0,1
1,179,0,1
1,143,1,1
1,143,1,1
1,143,0,1
1,142,1,1
1,149,0,1
1,159,0,2
1,163,1,2
1,201,0,2
1,224,1,2
1,233,1,2
1,195,1,2
1,185,1,2
1,193,1,2
1,196,1,2
1,243,0,2
1,186,0,2
1,169,1,2
1,181,0,2
1,152,1,2
1,174,0,2
1,180,1,2
1,148,1,2
1,217,0,2
1,171,1,2
1,153,0,2
1,181,0,2
1,146,1,2
1,184,0,2
1,187,1,2
1,171,0,2
1,237,0,2
1,208,0,2
1,211,1,2
1,244,1,2
1,201,0,2
1,163,1,2
1,164,0,2
1,164,0,2
1,276,0,2
1,174,1,2
1,147,0,2
1,209,0,2
1,169,1,2
1,205,1,2
1,177,1,2
1,218,1,2
1,195,0,2
1,231,0,2
1,183,1,2
1,200,0,2
1,185,1,2
1,300,1,2
1,182,0,2
1,198,1,2
1,237,1,2
1,174,1,2
1,214,1,2
1,202,0,2
1,161,1,2
1,208,0,2
1,175,1,2
1,270,1,2
1,163,1,2
1,182,1,2
1,168,0,2
1,198,1,2
1,172,1,2
1,134,1,2
1,163,1,2
1,195,0,2
1,159,1,2
1,147,1,2
1,188,1,2
1,163,0,2
1,202,1,2
1,137,1,2
1,142,0,2
1,141,1,2
1,190,1,2
1,217,1,2
1,186,0,2
1,169,1,2
1,213,0,2
1,163,1,2
1,215,0,2
1,179,1,2
1,168,1,2
1,177,1,2
1,142,1,2
1,201,1,2
1,214,1,2
1,194,1,2
1,122,1,2
1,186,0,2
1,138,1,2
1,176,1,2
1,202,1,2
1,181,1,2
1,178,1,2
1,200,1,2
1,171,0,2
1,151,1,2
1,175,1,2
1,156,1,2
1,181,1,2
1,202,1,2
1,153,1,2
1,147,1,2
1,150,1,2
1,170,1,2
1,169,1,2
1,148,1,2
1,208,0,2
1,166,1,2
1,162,1,2
